"","video_id","trending_date","channel_title","category_id","views","likes","dislikes","comment_count","comments_disabled","ratings_disabled","video_error_or_removed","hour","publish_date","trending_day","tag_count","tag_count_fac","weekend","weekend_fac","hour_fac","category","assignable"
"1","9wRQljFNDW8",2017-11-14,"NFL",17,81377,655,25,177,"False","False","False",2,2017-11-13,1,49,4,"Monday",0,0,"Sports",TRUE
"2","Om_zGhJLZ5U",2017-11-14,"Screen Junkies",1,288922,7515,792,2111,"False","False","False",18,2017-11-12,1,28,3,"Sunday",1,1,"Film & Animation",TRUE
"3","goP4Z5wyOlM",2017-11-14,"BBC News",25,34785,308,26,413,"False","False","False",21,2017-11-12,1,10,1,"Sunday",1,1,"News & Politics",TRUE
"4","8NHA23f7LvU",2017-11-14,"The Graham Norton Show",24,1496225,16116,236,605,"False","False","False",19,2017-11-10,1,14,2,"Friday",0,1,"Entertainment",TRUE
"5","IE-xepGLVt8",2017-11-14,"Mayo Clinic",28,237307,1896,74,260,"False","False","False",12,2017-11-10,1,8,1,"Friday",0,0,"Science & Technology",TRUE
"6","cOc3tsFWoRs",2017-11-14,"The Late Late Show with James Corden",24,1497519,15504,353,1084,"False","False","False",9,2017-11-10,1,26,3,"Friday",0,0,"Entertainment",TRUE
"7","wnwF1FHybDQ",2017-11-14,"Late Night with Seth Meyers",23,225286,1731,193,206,"False","False","False",11,2017-11-10,1,29,3,"Friday",0,0,"Comedy",TRUE
"8","pz95u3UVpaM",2017-11-14,"CamilaCabelloVEVO",10,5476737,286268,4083,12254,"False","False","False",5,2017-11-10,1,31,4,"Friday",0,0,"Music",TRUE
"9","yuBqWcSKrCk",2017-11-14,"TheEllenShow",24,304926,3305,130,275,"False","False","False",14,2017-11-10,1,15,2,"Friday",0,1,"Entertainment",TRUE
"10","dW4wpGg64pE",2017-11-14,"Vogue",24,1017803,25122,628,1504,"False","False","False",18,2017-11-09,1,20,3,"Thursday",0,1,"Entertainment",TRUE
"11","k29YnfttqEU",2017-11-14,"Jimmy Kimmel Live",23,1315873,9312,584,769,"False","False","False",4,2017-11-09,1,31,4,"Thursday",0,0,"Comedy",TRUE
"12","htvR_dBs3eg",2017-11-14,"theneedledrop",10,98422,2926,106,798,"False","False","False",21,2017-11-10,1,31,4,"Friday",0,1,"Music",TRUE
"13","5x1FAiIq_pQ",2017-11-14,"Alicia Keys",10,95944,1354,181,117,"False","False","False",15,2017-11-09,1,9,1,"Thursday",0,1,"Music",TRUE
"14","vd4zwINEcLY",2017-11-14,"poofables",24,95085,909,52,193,"False","False","False",4,2011-03-27,1,5,1,"Sunday",1,0,"Entertainment",TRUE
"15","7fm7mll2qvg",2017-11-14,"SigridVEVO",10,91776,4604,46,357,"False","False","False",0,2017-11-10,1,19,2,"Friday",0,1,"Music",TRUE
"16","q-WipZ9p0wk",2017-11-14,"Brothers Green Eats",26,77630,1991,83,208,"False","False","False",14,2017-11-09,1,26,3,"Thursday",0,1,"Howto & Style",TRUE
